"homeTeamName","awayTeamName","league_name","goalsHomeTeam","goalsAwayTeam","home_prob","draw_prob","away_prob"
"Grémio","Palmeiras","Campeonato Brasileiro da Série A",1,3,0.316681918501373,0.306723367605103,0.376594713893524
"Sao Paulo","EC Flamengo","Campeonato Brasileiro da Série A",2,0,0.415344506517691,0.28707635009311,0.297579143389199
"1. FC Kaiserslautern","MSV Duisburg","Germany – 2. Bundesliga",0,1,0.379783493070399,0.30124801765152,0.31896848927808
"1. FC Nürnberg","Dynamo Dresden","Germany – 2. Bundesliga",2,1,0.48253872262067,0.265593520352521,0.251867757026809
"Erzgebirge Aue","Jahn Regensburg","Germany – 2. Bundesliga",1,0,0.443724066390041,0.280515214384509,0.275760719225449
"PSV Eindhoven","Heracles Almelo","Netherlands – Eredivisie",3,0,0.839010022720273,0.103463054742864,0.0575269225368634
"Feyenoord Rotterdam","Ajax Amsterdam","Netherlands – Eredivisie",1,4,0.326005420544542,0.276134902954159,0.397859676501299
"AZ Alkmaar","FC Utrecht","Netherlands – Eredivisie",3,0,0.447959938542082,0.254310590109828,0.297729471348091
"SC Heerenveen","Vitesse Arnhem","Netherlands – Eredivisie",0,4,0.464969085243868,0.257634585491325,0.277396329264807
"Ipswich Town","Norwich City FC","England – Championship",0,1,0.309471972300186,0.280932770243685,0.409595257456129
"Everton FC","Arsenal FC","England – Premiere League",2,5,0.244178310046574,0.267465069860279,0.488356620093147
"Tottenham Hotspur FC","Liverpool FC","England – Premiere League",4,1,0.441496442834853,0.268526603587226,0.289976953577921
"OGC Nice","RC Strasbourg Alsace","France – Ligue 1",1,2,0.578843034781042,0.243827716705713,0.177329248513246
"ES Troyes AC","Olympique Lyonnais","France – Ligue 1",0,5,0.157807813893167,0.232202926157088,0.609989259949745
"Olympique de Marseille","Paris Saint-Germain","France – Ligue 1",2,2,0.123806798970011,0.179337789684501,0.696855411345489
"CD Tondela","C.F. Os Belenenses","Portugal – Primeira Liga",2,0,0.393266977140596,0.301951115575442,0.304781907283962
"Desportivo Aves","SL Benfica","Portugal – Primeira Liga",1,3,0.106929912169103,0.185047589939699,0.708022497891198
"Sporting CP","G.D. Chaves","Portugal – Primeira Liga",5,1,0.788296986207735,0.147140411150006,0.0645626026422592
"AC Chievo Verona","Hellas Verona FC","Italy – Serie A",3,2,0.521972219965884,0.272178496765836,0.20584928326828
"Benevento Calcio","ACF Fiorentina","Italy – Serie A",0,3,0.154403797594356,0.229616888694183,0.615979313711461
